"question","category","answer"
"What is the warranty policy on NVIDIA GPU servers and AI workstations?","Warranty & RMA","All #Gyan Labs enterprise hardware (including HGX H100/H200 and custom AI workstations) includes a 3-Year 24/7 Enterprise Warranty with 4-Hour On-Site Technician Dispatch and Next-Business-Day Advance Hardware Replacement (RMA)."
"How fast is shipping across Canada and the United States?","Shipping & Logistics","We provide free insured freight transit across North America. Standard delivery takes 2 to 3 business days from our fulfillment hubs in Montreal (QC), Toronto (ON), Seattle (WA), and San Francisco (CA)."
"Do you support Net-30 or corporate purchase orders (PO)?","Payment & Invoicing","Yes! Enterprise accounts, universities, and research institutes can purchase via Corporate PO, Net-30 invoicing, ACH Transfer, or Wire. Contact sales@gyanlabs.ai to establish your enterprise credit line."
"What is your return and refund policy?","Returns & Refunds","We offer a 30-Day Risk-Free Evaluation Period on developer workstations and edge devices. If you are not completely satisfied, return the equipment in original packaging for a 100% full refund with zero restocking fees."
"Can we lease GPU servers on monthly or annual cloud contracts?","Leasing & Cloud Compute","Yes. #Gyan Labs provides flexible Bare-Metal GPU Leasing (1-month, 6-month, or 3-year commitments) with dedicated 3.2 Tbps InfiniBand networking hosted in certified SOC 2 Type II data centers."
"Are YubiKey 5C NFC security keys compatible with Linux and macOS?","Security & Hardware","Yes. YubiKey 5C NFC keys work natively with macOS, Ubuntu, RedHat, Windows 11, and all major Zero-Trust identity providers (Okta, Microsoft Entra ID, Google Workspace, AWS IAM)."
"How do I initiate an RMA for a defective hardware component?","Warranty & RMA","Submit an RMA request via our support portal at https://gyanlabs.ai/support or ask this assistant with your order number. A pre-paid return shipping label and replacement unit will be dispatched immediately."
"Do you offer custom liquid cooling for high-density GPU clusters?","Custom Engineering","Yes. Our HPC engineering team designs custom direct-to-chip liquid cooling racks supporting up to 120 kW per rack for next-gen NVIDIA Blackwell GB200 architectures."
"Can I track my international or domestic shipment?","Shipping & Logistics","Yes! Enter your order number (e.g. GL-ORD-8821) into this chatbot or use the Order Tracking tab to view real-time carrier checkpoints (FedEx, UPS, Canada Post)."
"What level of technical support is included with developer workstations?","Support & SLA","Every developer workstation includes lifetime tier-3 engineer support, pre-installed PyTorch/TensorRT/CUDA drivers, and direct access to #Gyan Labs MLOps Slack channels."
